1,5,83
2,2,93
3,1,52
4,4,32
5,5,41
6,3,7
7,2,52
8,3,14
9,6,45
10,3,43
11,2,47
12,6,18
13,1,64
14,2,92
15,1,37
16,5,16
17,6,63
18,3,22
19,5,20
20,4,9
21,4,55
22,5,41
23,6,84
24,6,76
25,6,3
26,6,92
27,4,11
28,2,74
29,2,37
30,6,3
31,6,36
32,6,29
33,5,42
34,2,35
35,4,54
36,6,56
37,6,40
38,5,29
39,6,45
40,6,83
41,4,29
42,5,90
43,5,29
44,4,34
45,2,15
46,1,50
47,3,97
48,4,4
49,6,32
50,5,20
51,2,52
52,1,24
53,3,3
54,2,6
55,2,76
56,2,20
57,6,6
58,5,17
59,3,24
60,3,81
61,1,73
62,5,67
63,4,13
64,3,65
65,1,99
66,6,61
67,1,21
68,1,49
69,5,22
70,4,45
71,4,60
72,1,25
73,3,62
74,6,82
75,6,28
76,3,99
77,1,12
78,6,84
79,2,34
80,4,69
81,1,30
82,2,69
83,4,49
84,3,40
85,5,66
86,5,70
87,4,17
88,3,67
89,1,29
90,1,41
91,2,79
92,1,65
93,6,11
94,3,45
95,2,9
96,4,30
97,2,20
98,1,54
99,2,99
100,4,70
101,3,1
102,5,1
103,1,1
104,6,2
105,1,5
106,5,5
107,1,8
108,3,8
109,2,8
110,5,8
111,6,10
112,4,10
113,6,19
114,3,19
115,2,19
116,4,23
117,1,23
118,2,26
119,3,26
120,4,26
121,5,26
122,6,27
123,5,27
124,3,31
125,5,31
126,2,31
127,1,31
128,6,33
129,5,33
130,3,38
131,4,38
132,2,39
133,1,44
134,4,44
135,6,44
136,4,46
137,5,46
138,1,48
139,3,48
140,2,48
141,6,48
142,5,51
143,4,51
144,2,51
145,1,51
146,3,53
147,5,53
148,2,57
149,6,57
150,1,57
151,2,58
152,5,58
153,1,58
154,2,59
155,6,59
156,4,59
157,2,68
158,5,68
159,3,71
160,4,71
161,2,71
162,1,71
163,5,72
164,3,72
165,2,75
166,6,75
167,4,75
168,5,75
169,3,77
170,1,77
171,2,77
172,4,78
173,3,78
174,6,80
175,5,80
176,4,80
177,3,80
178,1,85
179,2,85
180,5,85
181,6,86
182,4,86
183,2,86
184,5,87
185,3,87
186,1,87
187,6,87
188,4,88
189,2,88
190,5,89
191,3,89
192,1,89
193,4,89
194,2,91
195,6,91
196,3,94
197,5,94
198,2,94
199,4,94
200,1,95
201,2,95
202,3,96
203,5,96
204,2,96
205,4,96
206,6,98
207,5,98
208,1,98
209,2,98
210,4,100
211,1,100
212,3,100
213,6,100
